address,antiphone,autonomous_status,bank_name,branches_summary,college_code,college_name,dist_from_hq,dist_from_railway,district,email,hostel_accommodation_available_boys,hostel_accommodation_available_girls,hostel_admission_fees,hostel_caution_deposit,hostel_electricity_charges,hostel_electricity_charges_boys,hostel_electricity_charges_girls,hostel_establishment_charges,hostel_max_transport_charges,hostel_mess_bill,hostel_mess_bill_boys,hostel_mess_bill_girls,hostel_min_transport_charges,hostel_permanent_or_rental,hostel_permanent_or_rental_boys,hostel_permanent_or_rental_girls,hostel_room_rent,hostel_room_rent_boys,hostel_room_rent_girls,hostel_transport_facilities,hostel_type_of_mess,hostel_type_of_mess_boys,hostel_type_of_mess_girls,minority_status,nearest_railway,note,phone_fax,pincode,principal_dean,taluk,website
CHIKKARAYAPURAM MANGADU,9884911205,No,BANK OF BARODA,CE(30); CS(120); EC(60),1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069 Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-",16,10,KANCHIPURAM,smitcollege1996@gmail.com,Yes,Yes,1000,0,,750,750,1000,35000,,3500,3500,15000,,Permanent,Permanent,,1500,1500,Yes,,Both,Both,Yes,TAMBARAM GUINDY,,4466110200,600069,DR K SOMASUNDARAM,KUNDRATHUR,www.smit.edu.in
"POST BAG NO.1, CHENNAI",9445694664,Yes,CITY UNION BANK,AU(30); BT(60),1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602105",40,20,KANCHIPURAM,principal@svce.ac.in,Yes,Yes,0,25000,,0,0,0,55000,,5000,5000,50000,,Permanent,Permanent,,50000,50000,Yes,,Veg,Veg,Yes,TIRUVALLUR,,9445694664,602117,DR S GANESH VAIDYANATHAN,1219,www.svce.ac.in
,,,,,1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
"IRUNGKATTU KOTTAI,",9600113031,No,FEDERAL BANK,AE(30); AD(30),1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602117",40,30,KANCHIPURAM,principal@pbce.co.in,Yes,Yes,3000,0,,500,500,1000,35000,,2850,2850,25000,,Permanent,Permanent,,1700,1700,Yes,,Veg,Veg,Yes,CHENNAI CENTRAL RAILWAY,,9940026861,602117,DR P SENTHIL KUMAR,SRIPERUMBUDUR TALUK,www.pbce.in
MEVALUR KUPPAM B VILLAGE,9445016734,No,UNION BANK OF INDIA,SC(60); CS(60),1225,Chennai 600123,15,20,KANCHIPURAM,litprincipaloffice@gmail.com,Yes,Yes,0,0,,200,200,0,30000,,5000,5000,25000,,Permanent,Permanent,,800,800,Yes,,Both,Both,Yes,AAVADI,,4426811552,600123,DR SUJATHA JAMUNA ANAND,,www.litedu.in
VALLAL P T LEE CHENGALVARAYA,8072236135,No,INDIAN BANK,EC(60); EE(60),1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502",10,3,KANCHIPURAM,ptleecncetoffice@gmail.com,Yes,Yes,0,3000,,200,200,0,8000,,3100,3100,5000,,Permanent,Permanent,,0,0,Yes,,Both,Both,No,THIRUMALPUR,,4429817222,631502,DR P PALANISAMY ME PHD,,www.ptleecncet.com
"34, UDAYAVAR KOIL STREET,",9884487551,No,FEDERAL BANK,BM(60); CS(60); EC(30),1228,"Alpha College of Engineering, No.34, Udayavar Koil Street, Poonamallee, Thirumazhisai, Chennai - 600124",25,10,TIRUVALLUR,engineering@alphagroup.edu,Yes,Yes,0,0,,0,0,0,47000,,4500,4500,12000,,Rental,Permanent,,2500,2500,Yes,,Both,Both,No,AVADI,,9884487551,600124,DR B SOWMYA,POONAMALLEE,https://alphagroup.edu/engineering/
"NO:1, V.G.R. GARDENS, V.G.R. NAGAR,",9894405442,No,HDFC BANK LTD,CS(60); AD(60); EC(60),1229,"Indira Institute of Engineering and Technology, VGR Gardens, Pandur, Thiruvallur District 631203",5,6,TIRUVALLUR,engg.principal@indiraeducational.org,Yes,Yes,1000,0,,275,275,2500,25000,,1500,1500,10000,,Permanent,Permanent,,2500,2500,Yes,,Both,Both,No,THIRUVALLUR,,9841039479,631203,DR N VELVIZHI,THIRUVALLUR,www.indiraeducational.org
"MEVALOORKUPPAM, VALARPURAM",9444035060,No,SOUTH INDIAN BANK,AE(60); AD(60); CB(60),1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105",30,25,KANCHIPURAM,aec1230@gmail.com,Yes,Yes,200,0,,150,150,0,25000,,1100,1100,20000,,Permanent,Permanent,,5000,5000,Yes,,Both,Both,No,GUINDY,,9444035060,602105,DR R MANOHARAN B E M TECH PH D,SRIPERUMBUDUR,www.apolloengg.in
,,,,,1232,"A R M College of Engineering and Technology, Sattamangalam, Maraimalainagar, Chengalpattu District 603209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
"NO.6, MUNU ADHI NAGAR,",9952971485,No,INDIAN OVERSEAS BANK,CS(60); EC(60),1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605",24,8,KANCHIPURAM,office@adhi.edu.in,Yes,Yes,1000,0,,500,500,0,25000,,3500,3500,10000,,Permanent,Permanent,,1000,1000,Yes,,Both,Both,No,WAALAJABAD,,9003625277,631605,DR A DEVARAJU,,www.adhi.edu.in
,,,,,1235,"JeiMathaajee College of Engineering, Vishaandikuppam, Karappettai (via), Siruvakkam, Kancheepuram District 631 552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
VELAMMAL KNOWLEDGE,9444719852,No,INDIAN BANK,CS(240); EC(120),1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204",28,7,TIRUVALLUR,principal@velammalitech.edu.in,Yes,Yes,1000,1000,,950,950,5000,35794,,5910,5910,11132,,Permanent,Permanent,,2290,2290,Yes,,Both,Both,No,PONNERI,,4422446300,601204,DR N BALAJI,1237,WWW.VELAMMALITECH.EDU.IN
GRT MAHALAKSHMI NAGAR,8939992754,No,AXIS BANK LTD,CS(120); EE(30),1238,"G R T Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",35,6,TIRUVALLUR,grtedu@gmail.com,Yes,Yes,1000,0,,5000,5000,2000,42000,,42000,42000,11500,,Permanent,Permanent,,15000,15000,Yes,,Both,Both,No,TIRUTTANI,,4427887044,631209,DR S ARUMUGAM,1238,www.grt.edu.in
"T.J.S. NAGAR, PERUVOYAL VILLAGE,",7373730006,No,STATE BANK OF INDIA,CS(90); EC(60),1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206",50,4,TIRUVALLUR,tjsivanandam@gmail.com,Yes,Yes,0,4000,,650,650,0,25000,,3800,3800,10500,,Permanent,Permanent,,1800,1800,Yes,,Both,Both,No,KAVARAIPETTAI,,4427967602,601206,DR J PRAKASH,,www.tjsec.in
ERANDAMKATTALAI,8190050600,No,KARUR VYSYA BANK,AD(30); ME(30),1243,"Sadhananthapuram, Thandalam Post, Chennai 602101",60,5,KANCHIPURAM,principal448@gmail.com,Yes,Yes,500,0,,200,200,1000,22000,,3500,3500,10000,,Permanent,Permanent,,500,500,Yes,,Both,Both,No,PALLAVARAM,,8190050600,600128,DR K BALAKANNAN,KUNDRATHUR,www.mietchennai.in
"RAJIV GANDHI ROAD, OMR INSIDE",9940004500,No,INDIAN BANK,AD(30); CB(30); CE(30),1301,"Mohammed Sathak A J College of Engineering, Old Mahabalipuram Road (OMR), Egattur, Chengalpattu District 603103",30,20,CHENGALPATTU,msajce.office@gmail.com,Yes,Yes,0,0,,0,0,0,46000,,5000,5000,7000,,Permanent,Permanent,,40000,40000,Yes,,Both,Both,Yes,TAMBARAM,,4427470025,603103,DR K S SRINIVASAN,THIRUPORUR,www.msajce-edu.in
KALASALINGAM NAGAR OLD,7010562719,No,INDIAN BANK,EE(30); EC(60),1303,"Anand Institute of Higher Technology, Old Mahabalipuram Road (OMR), Kazhipattur, Chengalpattu District 603103",25,25,CHENGALPATTU,principal@aiht.ac.in,No,Yes,2500,0,,6000,6000,25000,35000,,2750,2750,25000,,Permanent,Permanent,,26000,26000,Yes,,Both,Both,No,TAMBARAM,,4427471310,603103,DR P SURESH MOHAN KUMAR,,www.aiht.ac.in
"BHARATHI SALAI,",9600396937,Yes,CITY UNION BANK,AD(60); AU(60); BM(60),1304,"Easwari Engineering College (Autonomous), Ramapuram, Chennai 600089",15,5,CHENNAI,principal@eec.srmrmp.edu.in,Yes,Yes,0,0,,500,500,7000,50000,,6670,6670,45000,,Permanent,Permanent,,5000,5330,Yes,,Both,Both,Yes,GUINDY,,4443923041,600089,DR R S KUMAR B E HONS M TECH PH,MADURAVOYAL,www.srmeaswari.ac.in
JEPPIAAR NAGAR SEMMENCHERRY,9443277305,No,INDIAN BANK,AD(60); BT(30); CS(150),1306,"Jeppiaar Engineering College, Old Mahabalipuram Road (OMR), Chennai",15,20,CHENGALPATTU,principal@jeppiaarcollege.org,Yes,Yes,0,0,,1000,1000,0,50000,,4500,4500,25000,,Permanent,Permanent,,36000,36000,Yes,,Both,Both,Yes,TAMBARAM,,9944922670,600119,DR J FRANCIS XAVIER,SHOLINGANALLUR,www.jeppiaarcollege.org
VELACHERY MAIN,9445488650,Yes,PUNJAB NATIONAL BANK,EC(60); CB(30),1307,"Jerusalem College of Engineering (Autonomous), Narayanapuram, Pallikaranai, Chennai 600 100",20,3,CHENNAI,principal@jerusalemengg.ac.in,Yes,Yes,0,0,,3000,3000,15000,45000,,4000,4000,25000,,Permanent,Permanent,,45000,45000,Yes,,Both,Both,No,VELACHERY,,7540037999,600100,DR RAMESH S,,https://www.jerusalemengg.ac.in
363 ARCOT ROAD KODAMBAKKAM,9841070913,No,STATE BANK OF INDIA,CE(60); CS(60); EC(120),1309,"Meenakshi Sundararajan Engineering College, Kodambakkam, Chennai 600024",10,1,,principal@msec.edu.in,Yes,No,0,7000,,0,0,0,0,,2400,0,0,,Rental,Rental,,800,0,No,,Veg,Veg,No,KODAMBAKKAM,,9841070913,600024,DR P K SURESH,EGMORE,www.msec.edu.in
"""GURU MARUDHAR KESARI",9486862555,No,INDIAN BANK,CE(30); CB(30),1310,"MisrimalNavajeeMunoth Jain Engineering College, Rajiv Gandhi Salai (OMR), Thorappakkam, Chennai 600096",10,6,CHENGALPATTU,info@mnmjec.ac.in,Yes,Yes,600,5000,,633,633,3600,21000,,3050,3050,21000,,Permanent,Permanent,,1050,1050,Yes,,Veg,Veg,Yes,THIRUVANMYUR,,4424960101,600097,,,www.mnmjec.ac.in
RAJIV GANDHI SALAI KARAPAKKAM,9600075082,Yes,UNION BANK OF INDIA,AD(60); AE(60); AO(60),1311,"K C G College of Technology, (Autonomous) Karappakkam, Chennai 600096",33,17,CHENNAI,principal@kcgcollege.com,Yes,Yes,800,0,,200,200,15000,30500,,5250,5250,25500,,Permanent,Permanent,,2500,2500,Yes,,Both,Both,Yes,TAMBARAM,,4428389001,600097,DR P DEIVA SUNDARI,SHOLINGANALLUR,www.kcgcollege.ac.in
,,,,,1313,"Shree Motilal Kanhaiyalal (SMK)Fomra Institute of Technology, Old Mahabalipuram Road (OMR), Kelambakkam, Chengalpattu District 603103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
SRI SIVASUBRAMANIYA NADAR,9127469700,Yes,TAMILNAD MERCANTILE BANK,BM(60); CE(60),1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",30,32,CHENGALPATTU,info@ssn.edu.in,Yes,Yes,20000,7500,,0,0,0,68000,,3200,3000,68000,,Permanent,Permanent,,75000,75000,Yes,,Both,Both,No,TAMBARAM,,4427469700,603110,DR V E ANNAMALAI,THIRUPPORUR,www.ssn.edu.in
"THALAMBUR, OLD MAHABALIPURAM",9445024081,No,INDIAN BANK,BM(60); CE(30),1316,"Agni College of Technology, Old Mahabalipuram Road (OMR), Thalambur Village, Chengalpattu District 603103",25,15,CHENGALPATTU,mail@act.edu.in,Yes,Yes,0,0,,0,0,5000,30000,,5000,5000,10000,,Permanent,Permanent,,2000,2000,Yes,,Both,Both,No,TAMBARAM,,4467409441,600130,DR SRINIVASAN A,,www.act.edu.in
OLD MAHABALIPURAM ROAD (OMR),9840009439,Yes,INDIAN BANK,AD(180); AL(120); BT(60),1317,"St. Joseph’s College of Engineering (Autonomous), Old Mahabalipuram Road (OMR), Chennai 600 119",30,15,CHENNAI,jprstjosephs@stjosephs.ac.in,Yes,Yes,0,0,,0,0,0,50000,,9500,9500,0,,Permanent,Permanent,,5000,5000,Yes,,Both,Both,Yes,TAMBARAM,,4424501060,600119,DR VADDI SESHAGIRI RAO ME MBA,SHOLINGANALLUR,www.stjosephs.ac.in
"RAJIVGANDHI SALAI (OMR),",9710435577,No,STATE BANK OF INDIA,AD(60); AM(60); CE(60),1318,"T.J Institute of Technology, Karapakkam, Chennai - 600097",10,4,CHENNAI,admin@tjit.edu.in,Yes,Yes,3000,3000,,250,250,5000,45000,,4500,4500,35000,,Permanent,Permanent,,2500,2500,Yes,,Both,Both,Yes,PERUNGUDI,,8778639092,600097,DR DURAI ARULNEYAM,SCHOLINGANALLUR,www.tjit.edu.in
"RAJIV GANDHI SALAI (OMR),",8939875566,No,STATE BANK OF INDIA,CS(120); CE(60); EC(60),1319,"Thangavelu Engineering College, Karappakkam, Chennai 600097",10,4,CHENNAI,admin@thangavelu.edu.in,Yes,Yes,3000,3000,,250,250,5000,45000,,4500,4500,35000,,Permanent,Permanent,,2500,2500,Yes,,Both,Both,No,PERUNGUDI,,9841114834,600097,DR M VENKATESAN,SCHOLINGANALLUR,www.thangavelu.edu.in
"SH 2, THIRU VI KA INDUSTRIAL",9937872419,No,STATE BANK OF INDIA,MN(60); PA(60),1321,"of Plastics Engineering and Technology) (CIPET), Guindy, Chennai 600032",10,1,CHENNAI,chennai@cipet.gov.in,Yes,Yes,0,1000,,0,0,0,0,,2750,2900,0,,Permanent,Permanent,,10000,1667,No,,Both,Both,No,GUINDY,,9937872419,600032,DR SYED AMANULLA,GUINDY,www.cipet.gov.in
"157, EAST COAST ROAD, POONJERI",8939928999,No,FEDERAL BANK THIRUPORUR,AD(120); AE(60); AG(60),1322,"Dhanalakshmi Srinivasan College of Engineering and Technology, East Coast Road, Poonjeri, Chennai 603104",35,35,CHENGALPATTU,dscet@yahoo.co.in,Yes,Yes,6000,5000,,250,250,5000,35000,,4000,4000,8000,,Permanent,Permanent,,1600,1600,Yes,,Both,Both,Yes,CHENGALPATTU,,4427442844,603104,DR T MANVEL RAJ,THIRUKAZHUKKUNDRAM,www.dscet.ac.in
SIA LEO NAGAR WEST TAMBARAM,9122512111,Yes,CITY UNION BANK LTD,AD(120); CO(60); CS(240),1324,"Sri Sai Ram Institute of Technology (Autonomous), West Tambaram, Chennai 600044",17,7,,sairam@sairamit.edu.in,Yes,Yes,1000,10000,,18000,18000,15000,42500,,5600,5600,23000,,Permanent,Permanent,,25200,25200,Yes,,Both,Both,No,TAMBARAM,,4422512111,600044,DR K PALANIKUMAR,TAMBARAM,www.sairamit.edu.in
"NEMILI,SRIPERUMBUDUR,KANCHIPU",9840396564,No,AXIS BANK,CS(120); IT(60); EC(60),1325,"St. Joseph College of Engineering, Trinity Campus, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105",45,25,KANCHIPURAM,sjcemmi@gmail.com,Yes,Yes,0,0,,0,0,0,40000,,3000,3000,25000,,Permanent,Permanent,,3000,3000,Yes,,Both,Both,Yes,TAMBARAM,,9444405813,602117,DR T AHILAN,SRIPERUMBUDUR,www.stjoseph.ac.in
,,,,,1333,"Vi Institute of Technology, Sirunkundram Village & Post, Chengalpattu District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
,,,,,1334,"ARS College of Engineering, Maraimalai Nagar Post, Chengalpattu District",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No detail page found in PDF,,,,,
NAVANEEDHAM,8110863000,No,STATE BANK OF INDIA,CE(60); EC(30),1335,"Sri Krishna Institute of Technology, Panapakkam, Padappai, Chennai 601301",35,17,KANCHIPURAM,principal.skit@gmail.com,Yes,Yes,1000,0,,500,500,0,30000,,4200,4200,18000,,Permanent,Permanent,,1200,1200,Yes,,Both,Both,No,TAMBARAM,,9840630259,601301,PROF N PARTHIBAN,KUNDRATHUR,www.srikrishnait.in
"SARATHY NAGAR, PUDUPER,",8939917087,No,AXIS BANK,AD(60); CS(180); EC(60),1398,Chennai Institute of Technology and Applied Research,45,14,KANCHIPURAM,INFO@CITAR.IN,Yes,Yes,0,0,,5000,5000,0,60000,,5000,5000,50000,,Permanent,Permanent,,70000,70000,Yes,,Both,Both,No,PALLAVARAM,,4471119111,600069,DR P DEIVA SUNDARI,SRIPERUMBATUR,WWW.CITAR.IN
"PUDUPER VILLAGE, SARATHY",8939917087,Yes,AXIS BANK,AD(150); AM(120); CB(60),1399,"Post, Kundrathur,Chennai 600069",45,14,KANCHIPURAM,principal@citchennai.net,Yes,Yes,0,0,,5000,5000,0,60000,,5000,5000,50000,,Permanent,Permanent,,70000,70000,Yes,,Both,Both,Yes,PALLAVARAM,,4471119111,600069,DR A RAMESH,SRIPERUMBATUR,www.citchennai.edu.in
"34 OMR, IT HIGHWAY, EGATTUR",8122171070,No,INDIAN BANK,AR(120),1400,"Mohamed Sathak A.J. Academy of Architecture, No.34, Old Mahabalipuram Road (OMR), Chengalpattu District 603103",20,20,1400,admin@msajaa.com,Yes,Yes,2000,0,,100,100,0,48000,,4500,4500,30000,,Permanent,Permanent,,4500,4500,Yes,,Both,Both,Yes,TAMBARAM,,4427470391,603103,DR RANEE VEDAMUTHU DIRECTOR,THIRUPORUR,www.msajaa.com
ADHIPARASAKTHI ENGINEERING,9442936797,No,CENTRAL BANK OF INDIA,CE(60); ME(60); EE(60),1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District",36,3,CHENGALPATTU,principal@apec.edu.in,Yes,Yes,0,0,,7500,7500,500,38000,,48000,48000,7000,,Permanent,Permanent,,9000,9000,Yes,,Both,Both,No,MELMARUVATHUR,,4427529585,603319,DR J RAJA,CHEYYUR,www.apec.edu.in
CUDDALORE-ULUNDURPET MAIN,9842969992,No,STATE BANK OF INDIA,CS(60); EC(60); EE(60),1402,"Annai Teresa College of Engineering, Thirunavalur, Kallakkurichi District 607204",57,14,KALLAKURICHI,info.atce@gmail.com,Yes,Yes,1000,12000,,1200,1200,6500,25000,,5000,5000,25000,,Permanent,Rental,,1500,1500,Yes,,Veg,Veg,No,ULUNDURPET,,9842372393,607204,DR J KRISHNAKUMAR,ULUNDURPET,www.atce.ac.in
DR VPR NAGAR VARADHARAJA,9840620125,No,INDIAN OVERSEAS BANK,AD(120); CS(120); EC(60),1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai 601301",20,10,KANCHIPURAM,principal@dce.edu.in,Yes,Yes,2500,0,,12000,12000,30000,45000,,56000,56000,30000,,Permanent,Permanent,,12000,12000,Yes,,Both,Both,No,TAMBARAM,,7299016647,601301,DR C RAMESH BABU DURAI,SRIPERUMBUTHUR,www.dce.edu.in
"GKM NAGAR, NEW PERUNGALATHUR",9444963403,No,PUNJAB NATIONAL BANK,AD(30); AU(30); BM(30),1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063",25,4,,principal@gkmcet.net.in,Yes,Yes,1000,0,,750,750,1500,23000,,5250,5250,12000,,Permanent,Permanent,,650,650,Yes,,Both,Both,No,PERUNGALATHUR,,9444256780,600063,DR N S BHUVANESWARI,TAMBARAM,www.gkmgroup.in
"IFET NAGAR, GANGARAMPALAYAM,",9442172456,Yes,INDIAN OVERSEAS BANK,AD(60); AL(60); CE(30),1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108",4,4,VILUPPURAM,college@ifet.ac.in,Yes,Yes,500,3000,,417,417,1500,26300,,3500,3500,8500,,Permanent,Permanent,,833,833,Yes,,Both,Both,No,VALAVANUR,,4146231456,605108,DR G MAHENDRAN M TECH PH D,VILLUPURAM,www.ifet.ac.in
"GST ROAD, CHINNA KOLAMBAKKAM,",9841122841,No,CANARA BANK,AD(60); BT(60),1409,"KarpagaVinayaga College of Engineering and Technology, Palayanoor Post, Maduranthagam Taluk, Chengalpattu District 603308",14,14,CHENGALPATTU,kvcet@live.com,Yes,Yes,1000,2500,,0,0,0,41500,,3125,3125,11550,,Permanent,Permanent,,3125,3125,Yes,,Both,Both,No,CHENGALPATTU,,4471565297,603308,DR P KASINATHA PANDIAN,1409,https:/www.kveg.in
"MADHA NAGAR, KUNDRATHUR,",8144264853,No,KARUR VYSYA BANK,AE(30); BT(30); BM(30),1411,"Madha Engineering College, Kundrathur, Chennai 600069",25,7,KANCHIPURAM,principal@madhaengineeringcollege.com,Yes,Yes,1000,0,,5000,5000,1000,30000,,3500,3500,20000,,Permanent,Permanent,,10000,10000,Yes,,Both,Both,Yes,PALLAVARM,,9790857567,600069,DR J VENU GOPALA KRISHNAN,SRIPERUMBUDUR,www.madhaengineeringcollege.com
MAILAM,9384428838,No,STATE BANK OF INDIA MAILAM,AD(60); CB(60); ME(120),1412,"Mailam Engineering College, Mailam, Villupuram District 604304",28,15,1412,mec@mailamengg.com,Yes,Yes,500,0,,5000,5000,0,29000,,45000,45000,14000,,Permanent,Permanent,,15000,15000,Yes,,Both,Both,No,TINDIVANAM,,8056524147,604304,DR R RAJAPPAN,TINDIVANAM,www.mailamengg.com
BHB NAGAR PONDUR PO VADAKAL,9941143542,No,STATE BANK OF INDIA,AD(60); CS(90); SC(60),1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",30,20,KANCHIPURAM,svct2009@gmail.com,Yes,Yes,1000,0,,1000,1000,3500,40000,,3000,3000,30000,,Permanent,Permanent,,1500,1500,Yes,,Both,Both,No,TAMBARAM,,4461777777,602105,DR N JANAKI MANOHAR,SRIPERUMBUDUR,www.svct.edu.in
MEDAVAKKAM - MAMBAKKAM,9789832134,Yes,INDIAN OVERSEAS BANK,CS(60); CE(30); EC(120),1414,"Prince Shri Venkateshwara Padmavathy Engineering College(Autonomous), Ponmar, Chennai 600048",70,15,CHENGALPATTU,prince@psvpec.in,Yes,Yes,500,5000,,400,400,0,40000,,6000,6000,33000,,Permanent,Permanent,,750,750,Yes,,Both,Both,No,TAMBARAM,,9840100040,600127,DR G INDIRA,VANDALUR,www.psvpec.in
"INDHILI,MELUR,KALLAKURICHI.",9865989090,No,ICICI BANK,CE(60); CS(30); EE(60),1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District 606201",15,15,1415,tsmjaincot@gmail.com,Yes,Yes,500,5000,,250,250,5000,15000,,3000,3000,7500,,Permanent,Permanent,,500,500,Yes,,Veg,Veg,No,CHINNASALEM,,9444114911,606201,DR ESWARAN THANGARAJU BE ME,CHINNASALEM,www.tsmjain.in
ST MARYS NAGAR NEAR AVADI,9994483785,No,INDIAN OVERSEAS BANK,CS(60); ME(60); BM(60),1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",15,1,TIRUVALLUR,principal.jsec2006@gmail.com,Yes,Yes,0,0,,835,835,0,30000,,2500,2500,20000,,Permanent,Permanent,,1250,1250,Yes,,Both,Both,Yes,NEMILICHERY JAYA COLLEGE,,4426340250,602024,DR P MARIMUTHU,AVADI,www.sakthiec.edu.in
"SAI LEO NAGAR, POONTHANDALAM",9677065557,Yes,CITY UNION BANK,CE(60); EC(240),1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai",25,8,KANCHIPURAM,sairam@sairam.edu.in,Yes,Yes,1000,10000,,18000,18000,15000,42500,,5600,5600,23000,,Permanent,Permanent,,25200,25200,Yes,,Both,Both,No,TAMBARAM,,9677065557,600044,DR K PORKUMARAN,,www.sairam.edu.in
"RATHINAMANGALAM, VANDALUR -",7358259994,No,HDFC,AE(30); CS(120),1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",40,7,CHENGALPATTU,principal@tagore-engg.ac.in,Yes,Yes,0,0,,750,750,2500,40000,,3500,3500,20000,,Permanent,Permanent,,2833,2833,Yes,,Both,Both,No,VANDALUR,,4422299400,600127,DR R RAMESH,,www.tagore-engg.ac.in
ARASUR & POST,9443240278,No,TAMILNAD MERCANTILE BANK,CE(60); CS(120); EC(60),1421,"V R S College of Engineering and Technology, Arasur, Villupuram District",17,17,1421,vrscet@yahoo.com,Yes,Yes,0,1000,,0,0,0,16500,,3000,3000,5000,,Permanent,Permanent,,500,500,Yes,,Veg,Veg,No,VILLUPURAM,,4149298053,607107,DR N ANBAZHAGHAN PHD,THIRUVENNAINALLUR,www.vrscet.in
SRM NAGAR KATTANKULATHUR,9841578527,Yes,INDIAN BANK T NAGAR BRANCH,CE(30); CS(180); EE(60),1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai",15,1,,principal@srmvalliammai.ac.in,Yes,Yes,3500,0,,12000,12000,7500,60000,,75000,75000,60000,,Permanent,Permanent,,32000,32000,Yes,,Both,Both,Yes,POTHERI,,9094537070,603203,DR M MURUGAN,VANDALUR,www.srmvalliammai.ac.in
"""ASAN NAGAR"", 9TH KM,",7708855476,No,FEDERAL BANK,EC(30); ME(30),1423,"Asan Memorial College of Engineering and Technology, Chengalpattu-603 001.",9,9,CHENGALPATTU,asanengg@yahoo.co.in,Yes,Yes,500,5000,,100,100,2000,35000,,4500,4500,15000,,Permanent,Permanent,,1200,1200,Yes,,Both,Both,Yes,CHENGALPATTU,,7010004781,603105,DR V K GNANAVEL,,amcet.co.in
DHAANISH NAGAR,8939100044,No,AXIS BANK,AD(90); CS(120),1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",35,15,KANCHIPURAM,principal@dhaanishcollege.co.in,Yes,Yes,1000,1000,,500,500,1000,35000,,4000,4000,20000,,Permanent,Permanent,,1750,1750,Yes,,Both,Both,Yes,TAMBARAM,,8939100045,601301,DR G UMA GOWRI,KUNDRATHUR,www.dhaanish.in
"KOLAPAKKAM, VANDALUR, CHENNAI",9360648201,No,INDIAN BANK NALLAMBAKKAM,CS(90); EC(60); EE(30),1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",30,5,,1426srec@gmail.com,Yes,Yes,2000,5000,,200,200,0,32000,,5000,5000,16000,,Permanent,Permanent,,800,800,Yes,,Both,Both,No,VANDALUR,,9444859455,600127,DR A DHANAPAL,VANDALUR,www.sriramanujar.ac.in
"PANAPAKKAM, NEAR PADAPPAI,",9884447125,No,STATE BANK OF INDIA,EE(30); EC(60),1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",35,17,KANCHIPURAM,principal.skec@gmail.com,Yes,Yes,1000,0,,500,500,0,30000,,4200,4200,18000,,Permanent,Permanent,,1200,1200,Yes,,Both,Both,No,TAMBARAM,,9710119126,601301,PROF N SIVANESAN,,www.skec.edu.in
