collegeCode,collegeName,highestCutoff,competitiveBranch,cutoffYear,closingRank,programs,placementRate,medianSalary,averageSalary,highestSalary,placementYears,nirfEngineering,nirfYear,naacGrade,autonomous,hostelAvailable,facilities,website,evidenceConfidence,evidenceSourceCount,evidenceSources,missingFields,dataCoveragePercent
1339,Mahalakshmi Tech Campus,159.5,AD,2025,92179,6,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
1399,"Post, Kundrathur,Chennai 600069",196,CS,2025,3452,14,,,,,0,101-150,2025,,true,true,,www.citchennai.edu.in,high,1,https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html,placementRate | medianSalary | averageSalary | highestSalary | naacGrade | facilities,54
1401,"Adhiparasakthi Engineering College, Melmaruvathur, Chengalpattu District",164.5,AM,2025,77672,10,70.08,1500000,,,3,,,,false,true,Sports facilities | Wi-Fi campus | Central library,www.apec.edu.in,medium,2,https://assets.super.so/47fa140c-5512-4ac6-a02b-6305f7e083a9/files/b2e7dd26-fa42-44cc-8fc6-e6c8988cb7bb/apec_nirf_engineering_2026_-ir-e-c-16487.pdf | https://apec.edu.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1402,"Annai Teresa College of Engineering, Thirunavalur, Kallakkurichi District 607204",128.5,EC,2025,176045,2,,,,,0,,,,false,true,,www.atce.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1405,"Dhanalakshmi College of Engineering, Manimangalam, Chennai 601301",159,CS,2025,93510,8,83.52,330000,5000000,,4,,,A,false,true,Wi-Fi campus | Laboratories | Transport | Central library | Sports facilities | Auditorium | Cafeteria | Medical facilities,www.dce.edu.in,medium,4,https://dce.edu.in/admissions-dce/ | https://dce.edu.in/wp-content/uploads/2026/03/NIRF-2026.pdf | https://dce.edu.in/ | https://dce.edu.in/life-at-dce/,highestSalary | nirfEngineering,85
1407,"G K M College of Engineering and Technology, Alappakkam-Mappedu Road, Chennai 600063",145.5,IT,2025,130761,10,87.5,450000,,,2,,,,false,true,Gymnasium | Laboratories | Central library | Sports facilities | Cafeteria | Medical facilities,www.gkmgroup.in,medium,4,https://www.gkmcet.net.in/pdf/NIRF-2025.pdf | https://www.gkmcet.net.in/hostel.php | https://www.gkmcet.net.in/ | https://www.gkmcet.net.in/facilities.php,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1408,"I F E T College of Engineering (Autonomous), Gangarampalayam, Villupuram District 605108",176,CS,2025,46665,8,86.53,450000,,,3,,,A,true,true,Central library | Laboratories | Medical facilities | Cafeteria,www.ifet.ac.in,medium,3,https://ifet.ac.in/wp-content/uploads/2024/08/NIRF-Engg-2026.pdf | https://ifet.ac.in/ | https://ifet.ac.in/campus-life/,averageSalary | highestSalary | nirfEngineering,77
1411,"Madha Engineering College, Kundrathur, Chennai 600069",128.5,AD,2025,176854,10,,,,,0,,,,false,true,Laboratories | Innovation centre | Transport | Central library | Cafeteria | Sports facilities | Medical facilities,www.madhaengineeringcollege.com,medium,2,https://www.madhaengineeringcollege.com/ | https://www.madhaengineeringcollege.com/hostels/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1412,"Mailam Engineering College, Mailam, Villupuram District 604304",170,CS,2025,62528,8,96.05,228000,3300000,3300000,3,,,,false,true,Sports facilities | Auditorium | Cafeteria | Laboratories | Innovation centre | Gymnasium | Central library,www.mailamengg.com,medium,4,https://mailamengg.ac.in/placements/ | https://mailamengg.ac.in/wp-content/uploads/2025/02/Mailam-Engineering-College-2025.pdf | https://mailamengg.ac.in/ | https://mailamengg.ac.in/facilities/,nirfEngineering | naacGrade,85
1413,"Sri Venkateswaraa College of Technology, Sirukulathur, Vadakkal Village, Pondur Post, Sriperumbudur Taluk, Kancheepuram District 602105",172,CS,2025,57071,12,,,,3200000,1,,,,false,true,Laboratories | Innovation centre | Sports facilities,www.svct.edu.in,medium,2,https://www.svct.edu.in/placements | https://www.svct.edu.in/,placementRate | medianSalary | averageSalary | nirfEngineering | naacGrade,62
1414,"Prince Shri Venkateshwara Padmavathy Engineering College(Autonomous), Ponmar, Chennai 600048",195,CS,2025,4818,6,89.38,500000,,,3,201-300,2025,,true,true,Sports facilities | Cafeteria | Auditorium | Innovation centre | Laboratories | Gymnasium | Central library | Transport,www.psvpec.in,high,4,https://psvpec.in/wp-content/uploads/2026/04/NIRF.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://psvpec.in/ | https://psvpec.in/facilities/,averageSalary | highestSalary | naacGrade,77
1415,"T S M Jain College of Technology, Melur Village, Kallakurichi District 606201",,,,,0,,,,,0,,,,false,true,,www.tsmjain.in,unknown,0,,highestCutoff | closingRank | programs | placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,23
1416,"Jaya Sakthi Engineering College, Thirunindravur, Chennai 602024",127,AD,2025,179660,6,95,,,,1,,,A,false,true,Innovation centre | Laboratories | Central library,www.sakthiec.edu.in,medium,2,https://www.sakthiec.edu.in/ | https://www.sakthiec.edu.in/NAAC.php,medianSalary | averageSalary | highestSalary | nirfEngineering,69
1419,"Sri Sai Ram Enginering College (Autonomous), West Tambaram, Chennai",186,CS,2025,21966,15,82.79,520000,,,3,151-200,2025,A,true,true,Central library | Gymnasium | Laboratories | Sports facilities | Cafeteria | Auditorium,www.sairam.edu.in,high,4,https://sairam.edu.in/wp-content/uploads/2026/04/NIRF-ENGINEERING-2026.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking200.html | https://sairam.edu.in/ | https://sairam.edu.in/infrastructure/,averageSalary | highestSalary,85
1420,"Tagore Engineering College, Rathnamangalam, Vandalur Post, Chennai 600048",157.5,AD,2025,98234,7,,,,,0,,,,false,true,Cafeteria | Medical facilities | Central library | Innovation centre,www.tagore-engg.ac.in,medium,2,https://www.tagore-engg.ac.in/ | https://tagore-engg.ac.in/facilities/Infrastructure.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1421,"V R S College of Engineering and Technology, Arasur, Villupuram District",147.5,CS,2025,125797,6,,,,,0,,,,false,true,Laboratories | Central library | Cafeteria | Auditorium | Medical facilities,www.vrscet.in,medium,2,http://vrscet.in/ | http://vrscet.in/infrastructure/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1422,"SRM Valliammai Engineering College (Autonomous), Kattankulathur, Chennai",184.5,CS,2025,25740,11,88,,,,1,,,A,true,true,Transport | Central library | Laboratories | Cafeteria | Sports facilities | Medical facilities,www.srmvalliammai.ac.in,medium,3,https://srmvalliammai.ac.in/placement/ | https://srmvalliammai.ac.in/ | https://srmvalliammai.ac.in/campus-life/,medianSalary | averageSalary | highestSalary | nirfEngineering,69
1423,"Asan Memorial College of Engineering and Technology, Chengalpattu-603 001.",148.5,AD,2025,123313,6,,,,,0,,,,false,true,Central library | Transport | Laboratories | Cafeteria,amcet.co.in,medium,1,https://www.amcet.co.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",184,AD,2025,26999,7,,,,,0,,,,false,true,,www.dhaanish.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1426,"Sri Ramanujar Engineering College, Vandalur, Kolappakkam, Chennai 600127",144.5,AD,2025,133923,7,,,,,0,,,,false,true,,www.sriramanujar.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1427,"Sri Krishna Engineering College, Panappakkam, Padappai, Chennai 601301",147,AD,2025,127639,6,,,,,0,,,,false,true,Central library | Transport | Laboratories | Auditorium | Sports facilities | Medical facilities,www.skec.edu.in,medium,4,https://www.skec.edu.in/ | https://www.skec.edu.in/Infrastructure | https://www.skec.edu.in/Ourcampus | https://www.skec.edu.in/Hostel,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1428,"E S Engineering College, Chennai Trunk Road, Ayyankoilpattu, Villupuram District 605602",118,CS,2025,199897,4,,,,,0,,,,false,true,Laboratories | Central library,https://escet.in/,medium,2,https://escet.in/ | https://escet.in/facilities,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1430,"Maha Bharathi Engineering College, A Vasudevanur, Chinnasalem, Kallakurichi District 606201",142,AD,2025,140629,6,,,,,0,,,,false,true,Cafeteria | Central library | Transport,www.mbec.ac.in,medium,1,https://www.mbec.ac.in/facilities.html,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1431,"New Prince Shri Bhavani College of Engineering and Technology(Autonomous), Vengaivasal Main Road, Gowrivakkam, Chennai 600073",153,EC,2025,110706,7,100,675000,,,3,,,,false,true,Laboratories | Central library | Cafeteria,WWW.NPSBCET.EDU.IN,medium,2,https://npsbcet.edu.in/wp-content/uploads/2026/04/NIRF-OVERALL-2026.pdf | https://npsbcet.edu.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1432,"Rajalakshmi Institute of Technology, Irulapalayam, (Autonomous) Kuthampakkam Post, Kancheepuram District, Chennai 600124",191,CS,2025,11918,9,25,725000,,,4,201-300,2025,A,true,true,Gymnasium | Laboratories | Innovation centre | Central library | Sports facilities,www.ritchennai.org,high,5,https://ritchennai.org/placement-why-rit.php | https://ritchennai.org/nirf-2026/RIT-Data-Capturing-System-OVERALL-2026.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://www.ritchennai.org/ | https://ritchennai.org/naac.php,averageSalary | highestSalary,85
1434,"Surya Group of Institutions, GST Road, Vikravandi Village, Villupuram District",147.5,CS,2025,126468,10,,,,,0,,,,false,true,Auditorium | Cafeteria | Sports facilities | Laboratories | Central library,www.suryagroup.edu.in,medium,1,https://suryagroup.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1436,"A R Engineering College, Vadakuchipalayam, Kappiyampuliyur Post, Villupuram District 605601",116,ME,2025,203674,5,,,,,0,,,,false,true,Central library | Transport | Gymnasium | Laboratories | Cafeteria | Auditorium | Sports facilities | Medical facilities,www.arenggc.com,medium,2,http://www.arenggc.com/ | http://www.arenggc.com/infrastructure.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1437,"Rrase College of Engineering, Padappai, Kancheepuram 601301",143.5,CS,2025,137590,7,80,300000,,,2,,,,false,true,Laboratories | Transport | Central library | Sports facilities,www.rrase.com,medium,4,https://rrase.com/wp-content/uploads/2025/02/RRASE-College-of-Engineering20241230-.pdf | https://rrase.com/ | https://rrase.com/infrastructure/ | https://rrase.com/hostel/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1438,"Sree Krishna College of Engineering, Anaicut Post, Unnai Village, Vellore District",102.5,CS,2025,226923,3,,,,,0,,,,false,true,Central library | Laboratories | Medical facilities | Cafeteria,www.skcevellore.ac.in,medium,1,https://www.skcevellore.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1441,"A K T Memorial College of Engineering and Technology, Neelamangalam Village, Kallakurichi District 606202",131,CS,2025,170266,7,95.3,226800,,,3,,,A,false,true,Auditorium | Cafeteria | Medical facilities | Central library | Laboratories,www.aktmcet.in,medium,4,https://www.aktmcet.in/ | https://www.aktmcet.in/assets/img/NIRF%202024.pdf | https://www.aktmcet.in/hostel.html | https://www.aktmcet.in/internet.html,averageSalary | highestSalary | nirfEngineering,77
1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam- Mambakkam Road, Ponmar, Chennai 600127",192.5,AD,2025,8869,3,90.82,500000,,,3,,,B,false,true,Cafeteria | Central library | Laboratories,www.princedrkvasudevan.com,medium,3,https://www.princedrkvasudevan.com/AICTE/NIRF.pdf | https://www.princedrkvasudevan.com/ | https://www.princedrkvasudevan.com/Campus%20Facilities/index.html,averageSalary | highestSalary | nirfEngineering,77
1444,"Chendu College of Engineering and Technology, ZaminEndathur Village, Madurantakam Taluk, Chengalpattu District 600127",112.5,SC,2025,211151,5,,,,,0,,,,false,true,,www.chenduengg.com,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District 604151",146,EE,2025,130403,6,,,,,0,,,,false,true,,http://rangapoopathi.in/,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307",134.5,CS,2025,161515,7,,,,,0,,,,false,true,,https://vetscet.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",193,CS,2025,8206,6,,,,,0,,,,false,true,,www.licet.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048",144.5,AD,2025,134533,14,,,,,0,,,,false,true,Central library | Cafeteria,www.peri.education,medium,1,https://www.peri.education/periit/campusdrivejan2920.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506",155.5,CS,2025,102932,8,88.89,240000,240000,,4,,,,false,true,Transport | Central library | Auditorium | Cafeteria,www.apce.in,medium,4,https://www.apce.in/placement-training.php | https://www.apce.in/doc/NIRF%202026_Overall.pdf | https://www.apce.in/facilities.php | https://www.apce.in/,highestSalary | nirfEngineering | naacGrade,77
1503,"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal, Thiruvannamalai District 604410",112.5,ME,2025,211064,6,18.75,50000,,,2,,,,false,true,Central library | Laboratories | Gymnasium | Auditorium | Cafeteria,www.amace.edu.in,medium,3,https://www.amace.edu.in/uploads/nirf/nirf_amace_engineering.pdf | https://www.amace.edu.in/ | https://www.amace.edu.in/facilities,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603",166,AD,2025,72717,12,,,,,0,,,,false,true,,www.arunai.org,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509",171.5,AD,2025,58379,7,,,,,0,,,,false,true,,www.cahcet.edu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District",148,AD,2025,124624,8,,,,,0,,,,false,true,Central library | Transport | Cafeteria | Sports facilities | Medical facilities,www.gtec.ac.in,medium,2,http://www.gtec.ac.in/ | http://www.gtec.ac.in/internet.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078",169.5,AD,2025,63489,10,71.96,260000,,,2,,,,false,true,Medical facilities | Cafeteria | Laboratories | Wi-Fi campus | Transport | Central library,mce.edu.in,medium,2,https://mce.edu.in/uploads/nirf/mce_nirf_engi.pdf | https://mce.edu.in/,averageSalary | highestSalary | nirfEngineering | naacGrade,69
1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District",144.5,AD,2025,133785,7,,,,,0,,,,false,true,Central library | Gymnasium | Innovation centre | Auditorium,www.priyadarshini.net.in,medium,2,http://www.priyadarshini.net.in/pec_new/ | http://www.priyadarshini.net.in/pec_new/hostel.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1512,"S K P Engineering College, Thiruvannamalai District 606611",154.5,EC,2025,105748,9,,,,,0,,,,false,true,Laboratories | Central library,www.skpec.edu.in,medium,1,https://skpec.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1513,"Sri Balaji Chockalingam Engineering College, Arni, Thiruvannamalai District",144,CS,2025,135344,5,,,,,0,,,,false,true,,www.sbcecarni.org,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1516,"ThanthaiPeriyar Government Institute of Technology, Bagayam, Vellore District",190,CS,2025,13951,6,,,,,0,,,,false,true,,www.tpgit.edu.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District 631551",140,AD,2025,146215,8,,,,,0,,,,false,true,Laboratories | Central library,www.thirumalaiengg.in,medium,1,https://thirumalaiengg.org/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District 604505",124.5,IT,2025,185612,7,,,,,0,,,,false,true,,www.tcet.co.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District",141,AD,2025,143943,6,,,,,0,,,,false,true,Sports facilities | Auditorium | Transport | Central library | Laboratories,www.bec.ac.in,medium,1,https://www.bec.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1520,"Kingston Engineering College, Chithoor Main Road, Christianpet Village, Katpadi Taluk, Vellore District 632059",172.5,AD,2025,55306,7,,,,,0,,,,false,true,,www.kingston.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Ranipet District 632506",149.5,AD,2025,119632,7,95.65,800000,,,3,,,B,false,true,Laboratories | Central library,www.getedu.in,medium,2,https://getedu.in/nirf/NIRF-2026.pdf | https://www.getedu.in/,averageSalary | highestSalary | nirfEngineering,77
1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk, Thiruvannamalai District 606902",136,EC,2025,156965,5,,,,,0,,,,false,true,Central library | Laboratories | Auditorium | Medical facilities,www.annamalaiarengg.com,medium,2,https://www.annamalaiarengg.com/ | https://www.annamalaiarengg.com/rules-and-regulations/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur Post, Tirupattur District 635601",124,CS,2025,187134,6,,,,,0,,,,false,true,Laboratories | Central library | Transport | Auditorium | Sports facilities,www.podhigaitech.ac.in,medium,2,https://www.podhigaitech.ac.in/ | https://www.podhigaitech.ac.in/facilities,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
1526,"Sri Krishna College of Engineering, Tiruttani High Road, Arakkonam, Ranipet District 631003",112,CS,2025,211638,4,,,,,0,,,B,false,true,Cafeteria | Laboratories | Wi-Fi campus | Transport | Central library,www.srikrishnacollege.co.in,medium,2,https://www.srikrishnacollege.co.in/ | https://www.srikrishnacollege.co.in/facilities.php,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering,62
1605,"Idhaya Engineering College for Women, Chinnasalem, Kallakkurichi District",157,EE,2025,98635,4,,,,,0,,,,false,true,Central library | Laboratories | Innovation centre | Sports facilities,WWW.IECW.EDU.IN,medium,1,https://iecw.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",197.5,CS,2025,1990,10,,,,,0,,,,true,true,,www.gct.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District",199.5,CM,2025,342,24,74.6,700000,,,1,67,2025,,true,true,,www.psgtech.edu,high,2,https://www.nirfindia.org/nirfpdfcdn/2025/pdf/Engineering/IR-E-C-37013.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html,averageSalary | highestSalary | naacGrade | facilities,69
2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",198,CS,2025,1429,14,87.88,680000,,1540000,3,101-150,2025,,true,true,Sports facilities | Cafeteria | Auditorium | Medical facilities | Central library | Laboratories,www.cit.edu.in,high,6,https://cit.edu.in/placements/placement-records | https://cit.edu.in/uploads/epdf_documents/1a5a87365c853fcf3afbd733e6ac657b.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking150.html | https://cit.edu.in/general-facilities | https://cit.edu.in/life-at-cit/academic-facilities | http://cit.edu.in/,averageSalary | naacGrade,85
2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, NavavoorBharathiyar University Post, Somayampalayam, Coimbatore District",194,CS,2025,6641,6,,,,,0,,,,false,true,,www.aurcc.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2302,"Sri Shanmugha College of Engineering and Technology, Morur Bit II Village, Salem District 637304",150.5,CS,2025,116903,8,,,,,0,,,,false,true,,https://shanmugha.edu.in/,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2323,Dhanalakshmi Srinivasan College of Engineering and Technology (Autonomous Tiruppur Campus),,,,,0,,,,,0,,,,false,,,,unknown,0,,highestCutoff | closingRank | programs | placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,8
2327,"N S N College of Engineering and Technology, Karur-Madurai NH7, Manalmedu, Karur District 639003",127,CS,2025,179703,7,,,,,0,,,,false,true,Central library | Laboratories,www.nsn.ac.in,medium,1,https://nsn.ac.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2329,"Rathinam Technical Campus(Autonomous), Pollachi Road, Eachanari, Coimbatore District 641021",180.075,AD,2025,35404,11,96.24,950000,450000,4100000,4,201-300,2025,A,true,true,Laboratories | Central library,https://www.rathinamtechnicalcampus.com/,high,4,https://rtc.ac.in/ | https://rtc.ac.in/wp-content/uploads/2026/04/NIRF-Overall-2.4.26.pdf | https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html | https://rtc.ac.in/liferathinam/,,100
2332,"Aishwarya College of Engineering and Technology, ErrattaikaraduParuvachi Post, Anthiyur (Via), Bhavani Taluk, Erode District 638312",104,AD,2025,225098,1,,,,,0,,,,false,true,,www.aishwaryaengg.ac.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2338,"Asian College of Engineering and Technology, Asian College Road, Kondayampalayam, Near Saravanampatti, Coimbatore District 641110",134,CS,2025,162551,7,,,,,0,,,,false,true,,www.acetcbe.in,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2341,"Ganesh College of Engineering, Attur Main Road, Mettupatti, Salem District",114,CS,2025,207625,8,,,,,0,,,,false,true,Transport | Central library | Laboratories | Innovation centre | Sports facilities,http://ganeshenggcollege.org/,medium,1,http://ganeshenggcollege.org/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2342,"Sri Ranganathar Institute of Engineering and Technology, Thudialur-Kovilpalay Road, Coimbatore District 641110",149,AD,2025,121928,7,97.22,350000,,500000,3,,,,false,true,Central library | Gymnasium | Wi-Fi campus | Laboratories | Cafeteria,www.sriet.ac.in,medium,3,https://sriet.ac.in/wp-content/uploads/2025/02/placed.pdf | https://sriet.ac.in/wp-content/uploads/2025/02/NIRF-2025-ENGINEERING.pdf | https://www.sriet.ac.in/,averageSalary | nirfEngineering | naacGrade,77
2343,"Indian Institute of Handloom Technology, Foulke's Compound, Thillai Nagar, Salem District 636001",175,HT,2025,48702,1,,,,,0,,,,false,true,Cafeteria | Auditorium | Laboratories | Gymnasium | Central library,www.iihtsalem.edu.in,medium,2,https://www.iihtsalem.edu.in/ | https://www.iihtsalem.edu.in/boys-hostel/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",148.5,EC,2025,122524,9,86.72,360000,,,3,,,,false,true,Sports facilities | Cafeteria | Auditorium | Laboratories | Transport | Central library,www.dgct.ac.in,medium,3,https://www.dgct.ac.in/nirf2026.pdf | https://www.dgct.ac.in/ | https://www.dgct.ac.in/green-campus.php,averageSalary | highestSalary | nirfEngineering | naacGrade,69
2346,"Shree Sathyam College of Engineering and Technology, NH-47, Manjakkalpatti, Kuppanur Post, Sankari Taluk, Salem District 637301",144.5,BM,2025,134354,7,,,,,0,,,B,false,true,Transport | Central library | Gymnasium | Laboratories | Innovation centre | Auditorium | Cafeteria | Medical facilities,www.shreesathyam.edu.in,medium,2,https://shreesathyam.edu.in/ | https://shreesathyam.edu.in/facility/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering,62
2347,"AVS College of Technology, Attur Main Road, Near AVS College of Arts & Science, Chinnagoundapuram, Salem District 636106",146,EC,2025,130369,7,,,,,0,,,,false,,,,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | hostelAvailable | facilities | website,31
2349,"Dhaanish Ahmed Institute of Technology, Pichanur Post, (Near K G Chavadi), Coimbatore District 641105",171.5,CS,2025,58166,9,,,,,0,,,,false,true,,www.dhaanish.com,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2350,"Jairupaa College of Engineering, Thottiapalayam, Kathankanni Post, Kangayam, Tiruppur District 641 604",156.56,EC,2025,99808,2,,,,,0,,,,false,true,,www.jairupa.org,unknown,0,,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade | facilities,46
2354,"Pollachi Institute of Engineering and Technology, Main Road, Poosaripatti, Pollachi Taluk, Coimbatore District 642205",132,CS,2025,168160,7,,,,,0,,,,false,true,Cafeteria | Central library | Laboratories,www.pietech.edu.in,medium,1,https://www.pietech.edu.in/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2356,"Arulmurugan College of Engineering, Karvazhi Road, Thennilai Post, Karur District 639206",127,EC,2025,179524,4,,,,,0,,,,false,true,Laboratories | Central library | Medical facilities | Cafeteria,www.arulmurugan.edu.in,medium,2,https://arulmurugan.edu.in/ | https://arulmurugan.edu.in/campus-life/,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
2357,"V S B College of Engineering Technical Campus, EalurPirivu, Solavampalayam Post, Coimbatore District 642109",173,CS,2025,54396,8,91.62,400000,460000,450000,2,,,,false,true,Medical facilities | Central library | Laboratories | Gymnasium,www.vsbcetc.com,medium,4,https://vsbcetc.edu.in/placement-details/ | https://vsbcetc.edu.in/wp-content/uploads/2024/03/V.S.B-College-2022-23-NIRF-RANKING-2024.pdf | https://vsbcetc.edu.in/ | https://vsbcetc.edu.in/hostel-2/,nirfEngineering | naacGrade,85
2360,"Suguna College of Engineering, Kalappatti Road, Civil Aerodrome Post, Coimbatore District 641014",142.5,CS,2025,140061,7,,,,,0,,,,false,true,Cafeteria | Auditorium | Central library | Laboratories,www.sugunace.com,medium,2,https://www.sugunace.com/ | https://www.sugunace.com/pricing.html,placementRate | medianSalary | averageSalary | highestSalary | nirfEngineering | naacGrade,54
